Cellular,Lan,Dist
1000503,1000505,0.11119508023324305
1002075,33973,0.11119508023324305
61321,2353,0.12950065548524925
1004854,61376,0.132981162921137
60200,61071,0.20460622741480106
1004212,55744,0.20557381391347196
60822,62226,0.22239016046719343
1002904,62730,0.22862844417789208
1003040,1003035,0.2377472804843163
13308,24645,0.2627948948061695
1005104,61071,0.30219068489327405
50180,55487,0.3335852407004365
50640,50639,0.451146562610199
15651,19461,0.6129906362443229
1004967,34601,0.6242683339903901
54028,22029,0.6265891931099812
1002318,15637,0.6455204636624059
23036,33018,0.7663500434391671
50612,21228,0.7819994793999931
12279,35667,1.0007557221006023
55293,15831,1.0220712877176494
17151,53245,1.1458461837861171
50705,55456,1.25182437133982
24555,1000306,1.308890887632018
63015,31945,1.6611225481412497
14895,31945,1.87386613807248
2659,560,1.8804954005235615
1000568,2075,2.001511444204034
4788,33512,2.0032899095100714
11824,54572,2.033370297881184
53236,2075,2.1179183849046166
1000234,2075,2.2288535624681507
52640,53411,2.2335794617680165
33318,55223,2.3041893114452185
26705,33915,2.3103222829231203
62684,20374,2.368200881725105
21286,21274,2.393640014123047
50024,55223,2.4572760462540333
16715,1004923,2.5267103045881245
55795,61071,2.5586909518410526
35445,35643,2.8343864817226088
35462,35643,2.9030402966040234
28477,55685,2.925694641265732
450,26175,3.2727639028207895
1004094,16505,3.327381087042584
16426,1005095,3.374834856119336
1002225,27273,3.4117254188128188
34612,60922,3.460219717631613
16494,1005095,3.5036059801685226
1000483,25698,3.83065939979531
62047,13106,3.9247915682586503
54146,52512,3.945396391523214
55018,50972,4.0303118981581685
3333,1003123,4.238893970131637
1005126,54778,4.435707543229247
3457,30940,4.49288661028848
55677,30746,4.761290946047829
17602,30306,4.791008764664073
55276,13358,4.861432366101245
1002683,50010,4.899378028059275
1002682,22036,5.0443218646789365
1003774,29718,5.100551481386086
33622,11210,5.15076925151418
21782,1003349,5.388117729307869
28088,54876,5.532153201421567
16588,1005095,5.773916331064343
55449,1002732,6.106648904624267
34435,35695,6.241499277985741
50532,33670,6.323178453467563
16790,12938,6.351558184960683
1001615,35695,6.404175248938262
1002849,53709,6.477221018056776
30626,23635,6.517925297829809
31866,1000793,6.9374514663648235
28260,53441,7.496368076458098
1000879,55675,7.68327320610785
35385,34182,7.835118983676561
63070,10422,7.870571516004149
52413,55675,7.873133393106027
1004571,1313,8.245605127572723
26320,916,8.293414929600313
50081,916,8.497247246023388
25993,916,8.508059005959051
54532,52004,8.540286381348587
53821,2089,8.772882627798975
689,1002772,8.880558292878872
1003746,20047,8.958984639379867
28761,1005108,9.049482176808395
1002591,61879,9.092362972795897
1002421,1002576,9.752756445781145
21950,1001622,10.347598461700773
51459,33502,10.65780680789285
60313,54276,11.254990460287749
18667,19966,11.868182192918585
27989,52898,12.049051468542235
61868,51754,12.504599498669911
55495,24490,12.644788843825175
61689,3054,12.830371012774885
60435,10540,12.970738721761094
25262,29211,13.216758329948323
60605,10540,13.393065385601414
1003425,14784,13.873891987528767
51136,55315,14.027497836399212
26869,24551,16.224244943793856
29793,22203,16.493280322205354
1003519,1005255,16.57059188996805
11170,51090,16.657216310720205
1003159,20187,16.97778577609504
55005,52082,17.855806045031116
27955,378,21.16210415965081
62382,60455,21.22742440261705
50719,22296,21.537037580900105
22394,55138,21.754349265112616
52731,24355,22.195832917744706
1002522,28716,22.250793884578062
50736,52082,22.72991519474138
1005061,53771,23.951439355647878
1002626,28597,24.33496633752735
29550,20560,25.732488372584022
52772,1003835,26.317306265745245
26831,19793,26.5881401793061
16827,1003793,26.632574284918704
17789,1004774,28.708248966773727
33717,1005095,30.32565779599473
12165,20299,30.689088879583167
53760,21565,32.47801930908517
14536,55248,33.19290149243655
3601,3732,33.469774683501775
22312,51002,34.718039439231234
50288,60601,35.846100308046395
24080,10664,36.077898556238026
54866,22009,37.1844889417384
50412,1002970,39.330197900305755
28126,1000932,43.376660088243725
16377,1000932,43.442102192561514
20551,29714,47.58718763426295
53718,54398,49.8476178144253
4069,1002580,49.92154240525396
16896,28225,51.581160424545345
53842,61249,52.39081977662627
35229,3732,54.15545321105297
1001633,3732,54.4890176066887
26057,3732,57.61336231302216
1004866,61249,63.21883797077616
1002927,11513,67.73801744657143
1005000,54539,70.39508395289035
1001738,35695,76.4569384855346
3028,1000265,85.09290382604479
25225,31873,90.60221603948779
1002304,2754,100.95182006536191
1002316,2754,100.99548946542137
1002274,2754,101.21021588943704
18565,55661,108.7577584865752
61816,86,140.35823451703527
27296,53723,158.4389047743558
27411,55428,164.2623607373209
1004198,34707,245.81579623412208
33824,1000799,279.1433955080453
32473,55785,322.1257508852746
4893,33013,510.6546541127197
51485,1005095,692.1082857238513
54617,19994,1172.8139783985584
