Continent,Location,Datacenter,IP
EU,Frankfurt am Main,eu-central-1.ec2.cloudharmony.net,3.67.117.167
EU,Frankfurt am Main,europe-west3.gce.cloudharmony.net,34.159.150.238
EU,Frankfurt am Main,germany-westcentral.azure.cloudharmony.net,20.113.132.119
NA,Council Bluffs,us-central1.gce.cloudharmony.net,34.132.159.233
NA,Des Moines,us-central.azure.cloudharmony.net,104.43.249.147
NA,Columbus,us-east-2b.ec2.cloudharmony.net,18.221.48.14
SA,Sao Paolo,sa-east-1.ec2.cloudharmony.net,177.71.249.31
SA,Sao Paolo,southamerica-east1.gce.cloudharmony.net,34.151.208.71
SA,Campinas,brazil-south.azure.cloudharmony.net,20.197.194.186
AF,Cape Town,af-south-1.ec2.cloudharmony.net,13.245.205.121
AF,Cape Town,southafrica-west.azure.cloudharmony.net,102.133.100.81
OC,Sydney,ap-southeast-2.ec2.cloudharmony.net,3.105.132.193
OC,Sydney,australia-southeast1.gce.cloudharmony.net,34.151.112.196
OC,Sydney,australia-east.azure.cloudharmony.net,20.213.40.243
ME,Mumbai,ap-south-1.ec2.cloudharmony.net,52.66.78.70
ME,Mumbai,asia-south1.gce.cloudharmony.net,34.100.147.104
ME,Mumbai,india-west.azure.cloudharmony.net,52.183.134.32
AS,Tokyo,ap-northeast-1.ec2.cloudharmony.net,18.178.235.175
AS,Tokyo,asia-northeast1.gce.cloudharmony.net,35.221.115.203
AS,Tokyo,japan-east.azure.cloudharmony.net,20.222.214.71
