Wifi,Lan,Dist
10001,1,0.0
3854,54205,0.12516388235220055
25746,12002,0.26562564284800966
18956,10250,0.3335852407004365
18549,51908,0.6209326376979689
11740,11251,0.6786435894235999
35154,52535,1.1140745606213087
1001151,1000408,1.1348999435255838
32378,55705,1.3504275177864664
31811,28973,1.5275459197307244
21529,34019,1.8519765779886124
1000559,1000801,1.9177668459037736
55404,1004629,1.9518879128279394
1000261,1000276,2.025095070315846
35407,11968,2.194627200807402
1001319,16227,2.8128954617895143
4430,25086,3.101475794510789
28357,32768,3.348883178247144
14723,3811,3.8249498880947064
16601,1004747,3.9232490879941766
1004628,2275,4.096983385656143
23840,55499,4.361477159014822
54080,1001541,4.5722505689266875
1002768,1002242,4.764201244748473
1001169,21421,5.3721444084574115
32,1001360,5.654815203945811
1001514,55328,5.861710075459359
1000563,1000506,6.013123796147312
51025,60169,6.468308199400168
27119,10497,6.514599794449011
61316,63060,6.657175474285941
1002801,1002802,6.897633200133117
22150,22003,7.107777572752905
1000772,62069,7.122601012942503
14680,1003664,7.372983008209847
32006,13494,7.658168293254527
1000362,13494,7.669479514072078
34944,26563,9.039204737013545
22585,19665,9.092609445833071
21957,31782,9.12011231627743
50852,706,9.86839009316541
13615,15019,11.215339134326193
55739,54869,11.400987014257527
17968,1000387,12.88012814020906
55215,25828,12.914921137012374
17590,62069,13.124907010057523
24628,22702,14.959314342486522
1000774,54981,18.054155776319913
14064,11529,21.594423130757573
17065,60348,24.810769707161395
23835,20560,25.503441046634997
1000033,3617,25.58456113354084
50927,22203,25.960108862364333
1000068,1000071,29.58681950856234
1002758,1004220,31.53465153637159
1003465,20560,31.566087413740767
14698,53118,36.59877952543994
1001192,12180,38.781962338829324
23016,12124,43.47464146166744
1004600,1469,53.84441574311176
23394,1002575,64.83576607763915
27391,24155,91.99753481642294
1004984,14065,102.61741491015204
18833,55661,105.33566138961037
50274,33531,109.46581289615642
55358,33013,127.44450923626736
24908,13671,153.97168115736312
33085,54815,170.4313044386988
1004736,1174,233.06818841963147
1001395,1003876,290.4207110120012
60981,50428,297.04281010482987
53569,33013,401.4016323878259
7164,55500,403.7076912602444
60223,55500,480.0310497437444
50859,50428,856.2692466221896
1000327,19994,1174.0804162279014
52037,32384,2077.469389735374
