,Satellite,Lan,Dist,Lan Avg,Continent,Datacenter,Satellite Avg,Diff
0,61366,11179,0.111195080233243,30.05477580480901,EU,GOOGLE,52.80987955555278,22.75510375074377
1,61081,52041,0.1827980682499387,50.73438204504235,NA,GOOGLE,77.78714703602972,27.05276499098737
2,1003898,16984,0.2223901604664861,15.463657584082881,EU,GOOGLE,53.30252186486486,37.838864280781976
3,22802,24971,0.2795482523070224,28.794793234236035,NA,GOOGLE,70.59101008107568,41.79621684683964
4,50008,32700,0.4447803209336795,15.263312177174772,EU,GOOGLE,39.920672306310806,24.657360129136034
5,1001040,55147,0.7783655616341161,59.09741205864537,NA,GOOGLE,82.10691699099189,23.009504932346523
6,61731,85,0.9235792253570396,23.934489738730626,NA,GOOGLE,55.28817825224594,31.353688513515316
7,61498,55346,1.8656802253369968,30.667111348347753,EU,GOOGLE,69.94771780631079,39.28060645796304
8,1002289,32700,2.1379832665426464,15.263312177174772,EU,GOOGLE,39.920672306310806,24.657360129136034
9,1004453,55353,2.155535029778238,11.456604351349549,OC,GOOGLE,46.528795576572975,35.07219122522343
10,60892,55353,2.315687708697332,11.456604351349549,OC,GOOGLE,46.528795576572975,35.07219122522343
11,54088,3351,2.342876848480013,28.325123648647743,EU,GOOGLE,56.395247820523075,28.07012417187533
12,10743,12938,3.349733294599125,52.115279590094595,NA,GOOGLE,90.07340133333334,37.95812174323874
13,13851,1000298,3.629241373909189,23.636245891890095,EU,GOOGLE,48.75145328828378,25.115207396393682
14,1004978,21265,4.670193369807525,26.915083591591895,EU,GOOGLE,43.79312243808858,16.878038846496686
15,61241,50921,4.903350343678821,14.95466723573424,EU,GOOGLE,54.106731027024324,39.15206379129008
16,1004876,24553,7.737699764464396,24.09156284384234,EU,GOOGLE,47.23778303153244,23.146220187690098
17,35681,54460,7.82805766925646,22.416039436936934,EU,GOOGLE,47.33969526126486,24.923655824327923
18,21965,3668,8.205156097239962,19.331265216211712,EU,GOOGLE,52.002562423418915,32.6712972072072
19,1003131,19476,9.614209725756195,19.270904567569367,EU,GOOGLE,41.45215289188648,22.18124832431711
20,60323,27280,10.566706619378952,14.560810372366669,EU,GOOGLE,39.076914882883784,24.516104510517117
