Organization,Occurrence
NA,1348
"AMAZON-02, US",328
"DTAG Internet service provider operations, DE",87
"TWELVE99 Arelion, fka Telia Carrier, SE",39
"TDDE-ASN1, DE",37
"LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA, NL",23
"ASN-WINDTRE IUNET, IT",23
"SPACEX-STARLINK, US",22
"SIBSET-NSK-AS, RU",19
"VODANET International IP-Backbone of Vodafone, DE",19
"TNF-AS, NL",19
"SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT",18
"O2-CZECH-REPUBLIC, CZ",16
"LDCOMNET, FR",14
"TDC TDC AS, DK",14
"TELENOR-NEXTEL Telenor Norge AS, NO",14
"EUNET-FINLAND, FI",14
"AS16246 NEJ.cz s.r.o, CZ",14
"TELIANET-SWEDEN Telia Company, SE",13
"MTS, RU",13
"FASTWEB, IT",12
"BAHNHOF, SE",10
"LMT-3G Riga, Latvia, LV",10
"FREEDOMINTERNET, NL",9
"VERSATEL, DE",9
"KABSI-AS, AT",9
"APOLLO-AS Latvia, LV",9
"BOUYGTEL-ISP, FR",9
"TTNET, TR",9
"ITSELF Network and internet service provider., CZ",8
"TMOBILE-, CZ",8
"EE Ltd, GB",8
"EDERA_GROUP, CZ",8
"LWLCOM, DE",7
"TELE2, EU",6
"WOBCOM, DE",6
"NETBOX-AS NETBOX Autonomous system, CZ",6
"BSKYB-BROADBAND-AS, GB",6
"H3G-AUSTRIA-AS TELE2 AUSTRIA , AT",5
"A1TELEKOM-AT A1 Telekom Austria AG, AT",5
"LMT-NET Riga, Latvia, LV",5
"ELISA-AS Helsinki, Finland, FI",5
"BTC-AS BULGARIA, BG",5
"CETIN-AS, CZ",5
"AS5413, GB",5
"ASBRUTELE VOO, BE",4
"OPALTELECOM-AS TalkTalk Communications Limited, GB",4
"OTENET-GR Athens - Greece, GR",4
"BT-UK-AS BTnet UK Regional network, GB",4
"PROXIMUS-ISP-AS, BE",4
"AS12470 Housing-Center, DE",4
"DNA, FI",4
"SUNRISE, CH",4
"TELXIUS TELXIUS Cable, ES",4
"NTL, GB",4
"TMA Magenta Telekom, AT",4
"CESNET2, CZ",4
"ESTPAK, EE",4
"GLOBALCONNECT-AS31027, DK",4
"NEJTV-AS, CZ",3
"NV-ASN CELLCOM ltd., IL",3
"MYTHIC Mythic Beasts Ltd, GB",3
"TSF-IP-CORE Telia Finland Oyj, FI",3
"COMA, CZ",3
"BITEL-GESELLSCHAFT-FUER-TELEKOMMUNIKATION-AS - IP Transit Customer AS33873 -, DE",3
"VODAFONE-CZ-AS, CZ",3
"TELEKOM-AS, RS",3
"LIWEST-AT Linz, Austria, AT",3
"PLANETEL-SPA, IT",3
"QUANTCOM-AS Quantcom a.s., CZ",3
"ASSEFLOW, IT",3
"SWNNMS, DE",3
"T-2-AS AS set propagated by T-2 d.o.o., SI",3
"TELEFONICA_DE_ESPANA, ES",3
