Organization,Occurrence
NA,830
"GOOGLE-CLOUD-PLATFORM, US",334
"GOOGLE, US",246
"DTAG Internet service provider operations, DE",71
"SPACEX-STARLINK, US",43
"TDDE-ASN1, DE",37
"LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA, NL",30
"ASN-WINDTRE IUNET, IT",23
"EUNET-FINLAND, FI",20
"SIBSET-NSK-AS, RU",19
"TNF-AS, NL",19
"VODANET International IP-Backbone of Vodafone, DE",19
"APOLLO-AS Latvia, LV",16
"A1TELEKOM-AT A1 Telekom Austria AG, AT",16
"O2-CZECH-REPUBLIC, CZ",15
"TELENOR-NEXTEL Telenor Norge AS, NO",14
"LDCOMNET, FR",14
"TWELVE99 Arelion, fka Telia Carrier, SE",13
"TELIANET-SWEDEN Telia Company, SE",13
"AS16246 NEJ.cz s.r.o, CZ",12
"TMOBILE-, CZ",12
"FASTWEB, IT",12
"NEJTV-AS, CZ",11
"VERSATEL, DE",10
"BOUYGTEL-ISP, FR",10
"LMT-3G Riga, Latvia, LV",10
"TDC TDC AS, DK",10
"BAHNHOF, SE",10
"TTNET, TR",9
"FREEDOMINTERNET, NL",9
"MTS, RU",9
"KABSI-AS, AT",9
"EE Ltd, GB",8
"ITSELF Network and internet service provider., CZ",8
"BTC-AS BULGARIA, BG",8
"BT-UK-AS BTnet UK Regional network, GB",7
"SUNRISE, CH",6
"GLOBALCONNECT-AS31027, DK",6
"PROXIMUS-ISP-AS, BE",6
"LWLCOM, DE",6
"NETBOX-AS NETBOX Autonomous system, CZ",6
"SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT",6
"OPALTELECOM-AS TalkTalk Communications Limited, GB",6
"BSKYB-BROADBAND-AS, GB",6
"TELXIUS TELXIUS Cable, ES",6
"EDERA_GROUP, CZ",6
"WOBCOM, DE",6
"CETIN-AS, CZ",5
"LMT-NET Riga, Latvia, LV",5
"VODAFONE-CZ-AS, CZ",5
"ELISA-AS Helsinki, Finland, FI",5
"TMA Magenta Telekom, AT",5
"NTL, GB",5
"DNA, FI",4
"TELE2, EU",4
"CABLENET-AS, CY",4
"ESTPAK, EE",4
"ASSEFLOW, IT",4
"NV-ASN CELLCOM ltd., IL",4
"MEER-AS meerfarbig GmbH & Co. KG, DE",4
"SWNNMS, DE",4
"T-2-AS AS set propagated by T-2 d.o.o., SI",4
"ASBRUTELE VOO, BE",4
"TPNET, PL",4
"AS5413, GB",4
"AS12470 Housing-Center, DE",4
"WEBDISCOUNT, DE",4
"H3G-AUSTRIA-AS TELE2 AUSTRIA , AT",4
"PLANETEL-SPA, IT",4
"DE-DGW Deutsche Glasfaser Wholesale Internet, DE",4
"NCNET-AS, RU",4
