Organization,Occurrence
"MICROSOFT-CORP-MSN-AS-BLOCK, US",1561
NA,874
"DTAG Internet service provider operations, DE",74
"TDDE-ASN1, DE",44
"TWELVE99 Arelion, fka Telia Carrier, SE",34
"SIBSET-NSK-AS, RU",26
"LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA, NL",23
"EUNET-FINLAND, FI",23
"SPACEX-STARLINK, US",22
"MTS, RU",21
"ASN-WINDTRE IUNET, IT",21
"TNF-AS, NL",19
"SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT",18
"VODANET International IP-Backbone of Vodafone, DE",17
"TELENOR-NEXTEL Telenor Norge AS, NO",15
"O2-CZECH-REPUBLIC, CZ",14
"LDCOMNET, FR",14
"AS16246 NEJ.cz s.r.o, CZ",13
"TELIANET-SWEDEN Telia Company, SE",13
"VERSATEL, DE",13
"FASTWEB, IT",12
"AS12638 Duesseldorf, DE",11
"BOUYGTEL-ISP, FR",11
"TDC TDC AS, DK",11
"APOLLO-AS Latvia, LV",10
"LMT-3G Riga, Latvia, LV",10
"KABSI-AS, AT",9
"LEVEL3, US",9
"FREEDOMINTERNET, NL",9
"A1TELEKOM-AT A1 Telekom Austria AG, AT",9
"ITSELF Network and internet service provider., CZ",8
"TMOBILE-, CZ",8
"EE Ltd, GB",8
"TELEFONICA_DE_ESPANA, ES",7
"TMA Magenta Telekom, AT",7
"TTNET, TR",7
"BAHNHOF, SE",7
"BTC-AS BULGARIA, BG",6
"WOBCOM, DE",6
"NETBOX-AS NETBOX Autonomous system, CZ",6
"OPALTELECOM-AS TalkTalk Communications Limited, GB",6
"EDERA_GROUP, CZ",6
"RETN-AS, GB",6
"BSKYB-BROADBAND-AS, GB",6
"TPNET, PL",6
"LWLCOM, DE",5
"NEJTV-AS, CZ",5
"PROXAD, FR",5
"LMT-NET Riga, Latvia, LV",5
"H3G-AUSTRIA-AS TELE2 AUSTRIA , AT",5
"NTL, GB",5
"AS5413, GB",5
"TELXIUS TELXIUS Cable, ES",5
"CETIN-AS, CZ",5
"ELISA-AS Helsinki, Finland, FI",5
"ASBRUTELE VOO, BE",4
"DNA, FI",4
"ROSTELECOM-AS, RU",4
"CESNET2, CZ",4
"ESTPAK, EE",4
"VODAFONE-CZ-AS, CZ",4
"GLOBALCONNECT-AS31027, DK",4
"TELE2, EU",4
"BT-UK-AS BTnet UK Regional network, GB",4
"SWISSCOM Swisscom Switzerland Ltd, CH",4
"SWNNMS, DE",4
"BITEL-GESELLSCHAFT-FUER-TELEKOMMUNIKATION-AS - IP Transit Customer AS33873 -, DE",4
"OTENET-GR Athens - Greece, GR",4
"MEER-AS meerfarbig GmbH & Co. KG, DE",3
"PLANETEL-SPA, IT",3
"COMA, CZ",3
"CABLENET-AS, CY",3
"QUANTCOM-AS Quantcom a.s., CZ",3
"PROXIMUS-ISP-AS, BE",3
"IWAY, CH",3
"NV-ASN CELLCOM ltd., IL",3
"SOVAM-AS, RU",3
"SUNRISE, CH",3
"HURRICANE, US",3
"HTP-AS, DE",3
"HA-VEL-LOCAL-AS Czech republic, CZ",3
"T-2-AS AS set propagated by T-2 d.o.o., SI",3
"ASSEFLOW, IT",3
"TTI-NET, RO",2
"VFNL-AS Vodafone NL Autonomous System, NL",2
"PODA-AS, CZ",2
"ORIONTELEKOM-AS, RS",2
"TSF-IP-CORE Telia Finland Oyj, FI",2
"PLUSNET UK Internet Service Provider, GB",2
"TEKNIKBYRAN, SE",2
"TISCALI-UK TalkTalk Communications Limited, GB",2
"NTK IPv6 customers, RU",2
"A1, BG",2
"LIWEST-AT Linz, Austria, AT",2
"NETZBETRIEB-GMBH, DE",2
"JMNET, CZ",2
"DNSNET German Internet Service Providers, DE",2
"DE-DGW Deutsche Glasfaser Wholesale Internet, DE",2
"CITYNET-AT-AS, AT",2
"CETIN_DOO_AS CETINdoo-NET, RS",2
"NETHINKS-AS NETHINKS GmbH, DE",2
"H3GUK, GB",2
"IDNET IDNet, GB",2
"INIT7, CH",2
"INTELECA-AS Russia, Barnaul, RU",2
"BTN-ASN, US",2
"IP-OSTERAKER, SE",2
"BITE Bite IP Network, LT",2
"BARNAUL-AS, RU",2
"DNIC-AS-00749, US",2
"MF-MGSM-AS PJSC MegaFon, RU",2
"NCNET-AS, RU",2
"MYTHIC Mythic Beasts Ltd, GB",2
"KABELFOON DELTA Fiber Nederland, NL",2
"ALTIBOX_AS Norway, NO",2
"ARUBA-ASN, IT",2
"KORVESNET, DE",2
"ASN-ORANGE-ROMANIA, RO",1
"TMO-NL-AS, NL",1
"ASN-MGTS-USPD, RU",1
"TMOBILE-THUIS, NL",1
"UGR-AS, BE",1
"UMC-AS, UA",1
"AS_BUBAKOV, CZ",1
"CENTRONETAS Czech Republic, CZ",1
"VADAVO, ES",1
"UNI2-AS, ES",1
"BENJOJONET, GB",1
"DELTA-TELECOM-AS International Communication Operator, AZ",1
"BENESOL-BACKBONE International Backbone, BE",1
"GLOBALCONNECT-AS42525, DK",1
"EIRCOM Internet House, IE",1
"JURASSIC-FIBRE, GB",1
"OPENTRANSIT, FR",1
"MR-SIB-MTSAS MR Sibir, RU",1
"MIX2_OPENPEERING Orange Polska Internet.OptimumMIX2 Tier-2 services, PL",1
"PARKNET-AS, DK",1
"A1BG A1 EAD, BG",1
"KMENET, CZ",1
"KARIO-SAT, PL",1
"QUICKLINE Quickline AG, CH",1
"SALT-, CH",1
"GAMSJAEGER Unterauerstrasse 7, AT",1
"ITCNG ITC Internet Service Provider, IL",1
"ISPALLIANCE, CZ",1
"IPO-EU, SE",1
"SSPOY-AS, FI",1
"STWIMST, AT",1
"TANET, CZ",1
"GIGACLEAR, GB",1
"GIGABIT-, DK",1
"XTRA Telecom, ES",1
