Organization,Occurrence
NA,773
"AMAZON-02, US",423
"COMCAST-7922, US",175
"SPACEX-STARLINK, US",44
"ATT-INTERNET4, US",35
"CELLCO-PART, US",33
"TWELVE99 Arelion, fka Telia Carrier, SE",29
"LEVEL3, US",22
"TWC-7843-BB, US",17
"UUNET, US",14
"TWC-11351-NORTHEAST, US",12
"BHN-33363, US",11
"CENTURYLINK-US-LEGACY-QWEST, US",9
"AS-WHOLESAIL, US",8
"HURRICANE, US",7
"ASN-CXA-ALL-CCI-22773-RDC, US",6
"GTT-BACKBONE GTT, US",6
"ASN-VINS, US",6
"NTT-LTD-2914, US",5
"TWC-11427-TEXAS, US",5
"ROGERS-COMMUNICATIONS, CA",5
"TWC-20001-PACWEST, US",4
"TWC-11426-CAROLINAS, US",4
"TWC-10796-MIDWEST, US",4
"TDS-AS, US",4
"ATT-MOBILITY-LLC-AS20057, US",4
"FRONTIER-FRTR, US",4
"METROLOOP, CA",3
"CTELCO, US",3
"US-TELEPACIFIC, US",3
"ROCKISLAND, US",2
"CABLE-NET-1, US",2
"MCSNET, CA",2
"JANTECHCS-AS, US",2
"AS-PALCOM, US",2
"COL-LPC, US",2
"BACOM, CA",1
"GREENLIGHT-NETWORKS, US",1
"CABLELYNX, US",1
