Organization,Occurrence
NA,295
"COMCAST-7922, US",142
"GOOGLE-CLOUD-PLATFORM, US",115
"SPACEX-STARLINK, US",53
"ATT-INTERNET4, US",36
"GOOGLE, US",36
"CELLCO-PART, US",32
"UUNET, US",12
"TWC-11351-NORTHEAST, US",12
"LEVEL3, US",11
"TWC-7843-BB, US",9
"CENTURYLINK-US-LEGACY-QWEST, US",9
"CTELCO, US",7
"BHN-33363, US",6
"AS-WHOLESAIL, US",6
"ASN-VINS, US",6
"ASN-CXA-ALL-CCI-22773-RDC, US",6
"FRONTIER-FRTR, US",5
"TWC-11427-TEXAS, US",5
"TWC-20001-PACWEST, US",4
"TWELVE99 Arelion, fka Telia Carrier, SE",4
"ATT-MOBILITY-LLC-AS20057, US",4
"ROGERS-COMMUNICATIONS, CA",4
"TWC-11426-CAROLINAS, US",4
"TWC-10796-MIDWEST, US",4
"US-TELEPACIFIC, US",3
"MCSNET, CA",3
"METROLOOP, CA",3
"AS-PALCOM, US",2
"TDS-AS, US",2
"JANTECHCS-AS, US",2
"COL-LPC, US",2
"CABLE-NET-1, US",2
"CABLELYNX, US",1
"BACOM, CA",1
"GREENLIGHT-NETWORKS, US",1
