Organization,Occurrence
"MICROSOFT-CORP-MSN-AS-BLOCK, US",668
NA,307
"COMCAST-7922, US",128
"SPACEX-STARLINK, US",44
"ATT-INTERNET4, US",35
"CELLCO-PART, US",31
"TWC-7843-BB, US",22
"UUNET, US",15
"TWC-11351-NORTHEAST, US",12
"CENTURYLINK-US-LEGACY-QWEST, US",9
"AS-WHOLESAIL, US",8
"HURRICANE, US",7
"LEVEL3, US",6
"ASN-CXA-ALL-CCI-22773-RDC, US",6
"ASN-VINS, US",6
"ROGERS-COMMUNICATIONS, CA",5
"TWC-11427-TEXAS, US",5
"BHN-33363, US",5
"TDS-AS, US",5
"TWC-20001-PACWEST, US",4
"TWC-10796-MIDWEST, US",4
"TWC-11426-CAROLINAS, US",4
"FRONTIER-FRTR, US",4
"ATT-MOBILITY-LLC-AS20057, US",4
"US-TELEPACIFIC, US",3
"MCSNET, CA",3
"METROLOOP, CA",3
"COGENT-174, US",3
"CTELCO, US",3
"COL-LPC, US",2
"CABLE-NET-1, US",2
"JANTECHCS-AS, US",2
"AS-PALCOM, US",2
"ROCKISLAND, US",1
"CABLELYNX, US",1
"GREENLIGHT-NETWORKS, US",1
"GCI, US",1
