Probe ID,Technology,Prb Country,Prb Continent,Datacenter IP,Datacenter Company,Datacenter Continent,Hopcount,Latency Avg,IP,ASN,ASN Company
54146,CELLULAR,RU,EU,18.178.235.175,AMAZON,AS,24,"[1.0316666666666667, 3.2106666666666666, 2.2863333333333333, 1.4849999999999999, 1.6436666666666666, 2.3473333333333333, 1.9553333333333334, 2.650333333333333, 154.61533333333333, 158.44266666666667, 158.57466666666667, 156.607, 156.607, 272.01533333333333, 277.925, 280.87233333333336, 269.17699999999996, 273.8996666666667, 273.8996666666667, 273.8996666666667, 273.8996666666667, 273.8996666666667, 273.8996666666667, 278.24666666666667]","['192.168.1.1', '80.64.170.94', '193.238.131.86', '193.238.128.153', '89.189.190.234', '89.189.190.246', '193.238.131.161', '79.104.31.217', '79.104.235.120', '123.255.91.218', '52.93.35.86', '52.93.35.95', '52.95.31.17', '52.95.31.199', '52.95.31.196', '15.230.155.63', '15.230.155.72', '18.178.235.175']","['NA', '34757', '34757', '34757', '34757', '34757', '34757', '3216', 'NA', 'NA', 'NA', 'NA', '16509', '16509', '16509', 'NA', 'NA', '16509']","['NA', 'SIBSET-NSK-AS, RU', 'SIBSET-NSK-AS, RU', 'SIBSET-NSK-AS, RU', 'SIBSET-NSK-AS, RU', 'SIBSET-NSK-AS, RU', 'SIBSET-NSK-AS, RU', 'SOVAM-AS, RU', 'NA', 'NA', 'NA', 'NA', 'AMAZON-02, US', 'AMAZON-02, US', 'AMAZON-02, US', 'NA', 'NA', 'AMAZON-02, US']"
52413,CELLULAR,RU,EU,18.178.235.175,AMAZON,AS,27,"[1.1243333333333334, 6.538333333333333, 2.364333333333333, 2.6603333333333334, 2.4796666666666667, 3.5436666666666667, 2.0733333333333333, 2.1243333333333334, 2.7103333333333333, 2.2576666666666667, 2.8213333333333335, 155.85766666666666, 157.31533333333334, 163.172, 160.35333333333332, 160.35333333333332, 285.37833333333333, 274.10966666666667, 278.093, 281.46166666666664, 278.75600000000003, 278.75600000000003, 278.75600000000003, 278.75600000000003, 278.75600000000003, 278.75600000000003, 282.585]","['192.168.0.1', '80.64.174.62', '193.238.129.173', '10.255.154.69', '10.255.154.30', '193.238.128.150', '193.238.128.149', '89.189.190.202', '89.189.190.197', '193.238.131.165', '212.119.202.145', '79.104.235.120', '36.255.56.197', '54.240.241.106', '54.240.241.103', '52.95.31.67', '52.95.31.185', '52.95.31.186', '15.230.155.69', '15.230.155.74', '18.178.235.175']","['NA', '34757', '34757', 'NA', 'NA', '34757', '34757', '34757', '34757', '34757', '3216', 'NA', 'NA', 'NA', 'NA', '16509', '16509', '16509', 'NA', 'NA', '16509']","['NA', 'SIBSET-NSK-AS, RU', 'SIBSET-NSK-AS, RU', 'NA', 'NA', 'SIBSET-NSK-AS, RU', 'SIBSET-NSK-AS, RU', 'SIBSET-NSK-AS, RU', 'SIBSET-NSK-AS, RU', 'SIBSET-NSK-AS, RU', 'SOVAM-AS, RU', 'NA', 'NA', 'NA', 'NA', 'AMAZON-02, US', 'AMAZON-02, US', 'AMAZON-02, US', 'NA', 'NA', 'AMAZON-02, US']"
55675,LAN,RU,EU,18.178.235.175,AMAZON,AS,20,"[0.8019999999999999, 2.088, 1.585, 1.825, 1.886, 1.886, 81.887, 81.887, 81.887, 311.5733333333333, 317.786, 315.64566666666667, 314.58833333333337, 319.45633333333336, 319.45633333333336, 319.45633333333336, 319.45633333333336, 319.45633333333336, 319.45633333333336, 319.29266666666666]","['192.168.1.1', '5.130.20.254', '10.245.138.241', '10.245.138.242', '178.49.128.50', '99.82.182.0', '15.230.160.9', '52.95.31.167', '52.95.31.168', '188.234.72.52', '15.230.129.171', '15.230.129.156', '188.234.72.52', '18.178.235.175']","['NA', '31200', 'NA', 'NA', '31200', 'NA', 'NA', '16509', '16509', '9049', 'NA', 'NA', '9049', '16509']","['NA', 'NTK IPv6 customers, RU', 'NA', 'NA', 'NTK IPv6 customers, RU', 'NA', 'NA', 'AMAZON-02, US', 'AMAZON-02, US', 'ERTH-TRANSIT-AS, RU', 'NA', 'NA', 'ERTH-TRANSIT-AS, RU', 'AMAZON-02, US']"
1003123,LAN,DE,EU,18.178.235.175,AMAZON,AS,27,"[0.317, 1.8783333333333334, 1.8783333333333334, 21.108666666666668, 16.124333333333333, 17.295666666666666, 11.086, 191.17533333333333, 29.476333333333333, 170.19266666666667, 174.59933333333333, 175.64833333333334, 169.50433333333334, 168.08533333333332, 176.19933333333333, 176.19933333333333, 257.492, 251.37833333333333, 249.53433333333334, 254.43066666666667, 268.334, 268.334, 268.334, 268.334, 268.334, 268.334, 246.68666666666667]","['192.168.0.1', '192.168.255.1', '81.210.140.122', '84.116.197.10', '84.116.190.94', '195.2.26.93', '195.2.8.122', '195.2.21.185', '195.2.2.58', '99.83.91.96', '52.93.10.134', '52.93.8.109', '54.239.41.59', '52.93.9.152', '52.93.72.93', '52.93.72.220', '52.93.72.209', '52.93.72.176', '52.93.250.16', '18.178.235.175']","['NA', 'NA', '3209', '6830', '6830', '1273', '1273', '1273', '1273', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', '16509']","['NA', 'NA', 'VODANET International IP-Backbone of Vodafone, DE', 'LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA, NL', 'LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA, NL', 'CW Vodafone Group PLC, EU', 'CW Vodafone Group PLC, EU', 'CW Vodafone Group PLC, EU', 'CW Vodafone Group PLC, EU', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'AMAZON-02, US']"
52512,LAN,RU,EU,18.178.235.175,AMAZON,AS,24,"[0.9763333333333333, 1.8766666666666667, 1.8636666666666666, 1.3773333333333333, 1.328, 2.272333333333333, 1.643, 2.7426666666666666, 136.58, 136.02666666666667, 138.501, 138.21633333333332, 138.21633333333332, 252.654, 260.6426666666667, 259.5333333333333, 251.78533333333334, 258.3693333333333, 258.3693333333333, 258.3693333333333, 258.3693333333333, 258.3693333333333, 258.3693333333333, 260.704]","['192.168.1.1', '109.111.178.158', '193.238.128.154', '193.238.128.153', '89.189.190.204', '89.189.190.197', '193.238.131.165', '188.170.166.36', '83.169.204.102', '188.170.133.1', '52.93.35.58', '52.93.35.63', '52.95.31.65', '52.95.31.215', '52.95.31.208', '15.230.155.27', '15.230.155.50', '18.178.235.175']","['NA', '34757', '34757', '34757', '34757', '34757', '34757', '31133', '31133', '31133', 'NA', 'NA', '16509', '16509', '16509', 'NA', 'NA', '16509']","['NA', 'SIBSET-NSK-AS, RU', 'SIBSET-NSK-AS, RU', 'SIBSET-NSK-AS, RU', 'SIBSET-NSK-AS, RU', 'SIBSET-NSK-AS, RU', 'SIBSET-NSK-AS, RU', 'MF-MGSM-AS PJSC MegaFon, RU', 'MF-MGSM-AS PJSC MegaFon, RU', 'MF-MGSM-AS PJSC MegaFon, RU', 'NA', 'NA', 'AMAZON-02, US', 'AMAZON-02, US', 'AMAZON-02, US', 'NA', 'NA', 'AMAZON-02, US']"
53569,WIFI,AZ,EU,18.178.235.175,AMAZON,AS,27,"[1.2293333333333334, 3.5796666666666668, 3.5796666666666668, 3.933, 3.331, 5.201, 6.91, 8.013, 46.355333333333334, 46.355333333333334, 46.355333333333334, 46.355333333333334, 46.355333333333334, 161.65033333333332, 253.19766666666666, 253.19766666666666, 242.66733333333335, 242.66733333333335, 242.66733333333335, 244.56833333333333, 248.394, 248.394, 248.394, 248.394, 248.394, 248.394, 239.052]","['192.168.100.1', '10.221.235.254', '10.8.32.69', '10.8.52.70', '10.8.52.14', '85.132.2.90', '10.50.10.33', '188.43.209.206', '101.203.89.105', '101.203.89.179', '52.95.30.12', '52.95.31.217', '52.95.31.218', '18.178.235.175']","['NA', 'NA', 'NA', 'NA', 'NA', '29049', 'NA', '20485', 'NA', 'NA', '16509', '16509', '16509', '16509']","['NA', 'NA', 'NA', 'NA', 'NA', 'DELTA-TELECOM-AS International Communication Operator, AZ', 'NA', 'TRANSTELECOM Moscow, Russia, RU', 'NA', 'NA', 'AMAZON-02, US', 'AMAZON-02, US', 'AMAZON-02, US', 'AMAZON-02, US']"
14680,WIFI,RU,EU,18.178.235.175,AMAZON,AS,24,"[0.36566666666666664, 0.8803333333333333, 0.8266666666666667, 4.675333333333334, 4.7780000000000005, 6.135666666666666, 54.346333333333334, 54.089, 54.089, 53.353, 70.368, 70.21833333333333, 68.72733333333333, 68.72733333333333, 326.1256666666667, 332.09366666666665, 332.093, 321.17, 321.17, 321.17, 321.17, 321.17, 321.17, 345.9873333333333]","['192.168.22.1', '81.201.240.29', '81.201.255.16', '217.8.236.148', '212.188.23.69', '212.188.28.227', '195.34.50.153', '212.188.42.129', '195.34.53.201', '99.83.64.90', '52.93.81.204', '52.93.81.51', '52.95.31.13', '52.95.31.195', '52.95.31.190', '52.95.31.72', '18.178.235.175']","['NA', '21365', '21365', '28884', '8359', '8359', '8359', '8359', '8359', 'NA', 'NA', 'NA', '16509', '16509', '16509', '16509', '16509']","['NA', 'INTELECA-AS Russia, Barnaul, RU', 'INTELECA-AS Russia, Barnaul, RU', 'MR-SIB-MTSAS MR Sibir, RU', 'MTS, RU', 'MTS, RU', 'MTS, RU', 'MTS, RU', 'MTS, RU', 'NA', 'NA', 'NA', 'AMAZON-02, US', 'AMAZON-02, US', 'AMAZON-02, US', 'AMAZON-02, US', 'AMAZON-02, US']"
1003169,LAN,FR,EU,18.178.235.175,AMAZON,AS,26,"[0.05, 0.20366666666666666, 0.21266666666666667, 1093.4445, 2.3120000000000003, 1.4466666666666665, 6.455666666666667, 6.455666666666667, 6.455666666666667, 188.655, 189.655, 189.22333333333333, 191.04266666666666, 189.837, 189.837, 242.98399999999998, 242.74566666666666, 239.46333333333334, 243.304, 245.16166666666666, 245.16166666666666, 245.16166666666666, 245.16166666666666, 245.16166666666666, 245.16166666666666, 244.09866666666667]","['172.18.0.1', '192.168.4.254', '192.168.0.1', '176.143.164.2', '62.34.3.157', '62.34.2.119', '62.34.2.117', '154.54.6.26', '154.54.88.50', '154.18.36.170', '54.240.241.48', '54.240.241.45', '52.93.72.129', '52.95.31.222', '52.95.31.235', '15.230.129.197', '15.230.154.139', '18.178.235.175']","['NA', 'NA', 'NA', '5410', '5410', '5410', '5410', '174', '174', '174', 'NA', 'NA', 'NA', '16509', '16509', 'NA', 'NA', '16509']","['NA', 'NA', 'NA', 'BOUYGTEL-ISP, FR', 'BOUYGTEL-ISP, FR', 'BOUYGTEL-ISP, FR', 'BOUYGTEL-ISP, FR', 'COGENT-174, US', 'COGENT-174, US', 'COGENT-174, US', 'NA', 'NA', 'NA', 'AMAZON-02, US', 'AMAZON-02, US', 'NA', 'NA', 'AMAZON-02, US']"
1000387,LAN,CZ,EU,18.178.235.175,AMAZON,AS,30,"[2.6283333333333334, 2.4443333333333332, 2.5083333333333333, 5.368666666666667, 5.711333333333333, 5.4959999999999996, 5.4959999999999996, 5.561, 12.619333333333334, 11.955333333333334, 99.59233333333333, 24.676, 123.95766666666667, 222.01833333333335, 206.08833333333334, 205.098, 275.02549999999997, 267.2513333333333, 267.2513333333333, 277.58366666666666, 259.7456666666667, 256.99966666666666, 267.3726666666667, 267.8763333333333, 267.8763333333333, 267.8763333333333, 267.8763333333333, 267.8763333333333, 267.8763333333333, 267.961]","['10.128.6.225', '10.160.0.1', '10.191.255.9', '212.80.64.181', '82.119.246.165', '82.119.246.27', '130.117.14.217', '154.54.59.106', '154.54.59.185', '154.54.59.182', '154.54.63.222', '154.54.74.177', '154.54.6.26', '154.54.88.50', '154.18.36.170', '54.240.241.72', '54.240.241.233', '15.230.161.49', '52.93.72.240', '52.93.72.245', '15.230.129.213', '15.230.154.147', '18.178.235.175']","['NA', 'NA', 'NA', '29208', '29208', '29208', '174', '174', '174', '174', '174', '174', '174', '174', '174', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', '16509']","['NA', 'NA', 'NA', 'QUANTCOM-AS Quantcom a.s., CZ', 'QUANTCOM-AS Quantcom a.s., CZ', 'QUANTCOM-AS Quantcom a.s., CZ', 'COGENT-174, US', 'COGENT-174, US', 'COGENT-174, US', 'COGENT-174, US', 'COGENT-174, US', 'COGENT-174, US', 'COGENT-174, US', 'COGENT-174, US', 'COGENT-174, US', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA', 'AMAZON-02, US']"
1003465,WIFI,CZ,EU,18.178.235.175,AMAZON,AS,22,"[1.9113333333333333, 17.957666666666668, 17.957666666666668, 21.2, 20.233, 18.990666666666666, 20.321666666666665, 20.394333333333336, 20.394333333333336, 26.259, 38.86266666666667, 230.58766666666668, 230.64733333333334, 225.07933333333332, 225.21966666666665, 231.03766666666667, 231.03766666666667, 231.03766666666667, 231.03766666666667, 231.03766666666667, 231.03766666666667, 358.56466666666665]","['192.168.11.1', '10.10.10.1', '90.183.197.126', '194.228.115.71', '194.228.115.67', '194.228.115.66', '194.228.190.115', '154.54.37.29', '154.54.58.238', '154.54.58.237', '154.54.87.118', '154.54.87.226', '154.54.88.50', '154.18.7.2', '18.178.235.175']","['NA', 'NA', '5610', '5610', '5610', '5610', '5610', '174', '174', '174', '174', '174', '174', '174', '16509']","['NA', 'NA', 'O2-CZECH-REPUBLIC, CZ', 'O2-CZECH-REPUBLIC, CZ', 'O2-CZECH-REPUBLIC, CZ', 'O2-CZECH-REPUBLIC, CZ', 'O2-CZECH-REPUBLIC, CZ', 'COGENT-174, US', 'COGENT-174, US', 'COGENT-174, US', 'COGENT-174, US', 'COGENT-174, US', 'COGENT-174, US', 'COGENT-174, US', 'AMAZON-02, US']"
